country,year,month,fraud_cases,economy_index_2015,unemployment_rate,inflation_index,total_pop_thousands,conexiones_moviles,numero_transacciones_digitales_millions,monto_transacciones_millions,FRISK,ln_FRISK,std_ln_FRISK
Colombia,2020,2,18.0,111.74,11.6,79.4,48873.0,70.0,324.376016,1648.933508,0.03683015161745749,0.03616812761417562,-0.6159111110027943
Colombia,2020,3,20.0,100.73,12.8,79.5,48950.0,70.0,324.376016,1648.933508,0.04085801838610827,0.04004539069221441,-0.5429010630817906
Colombia,2020,4,39.0,86.88,20.6,79.5,49026.0,70.0,324.376016,1648.933508,0.07954962672867458,0.07654394187405952,0.14437780275715387
Colombia,2020,5,22.0,90.92,21.8,79.4,49101.0,70.0,324.376016,1648.933508,0.044805604773833524,0.04383084397226562,-0.4716198216966802
Colombia,2020,6,26.0,95.55,20.8,79.6,49177.0,70.0,324.376016,1648.933508,0.05287024421985888,0.05152000069659921,-0.32683065221900204
Colombia,2020,7,38.0,98.86,20.7,79.6,49247.0,70.0,343.521648,1844.855428,0.07716206063313501,0.07432986097962932,0.10268598330880883
Colombia,2020,8,18.0,99.25,17.6,79.8,49313.0,70.0,343.521648,1844.855428,0.036501531036440694,0.03585113001411204,-0.6218802726267695
Colombia,2020,9,31.0,102.77,16.8,80.2,49372.0,70.0,343.521648,1844.855428,0.06278862513165356,0.06089623210975217,-0.15027335109849552
Colombia,2020,10,14.0,105.35,16.2,80.5,49431.0,70.0,343.521648,1844.855428,0.028322307863486475,0.027928646943095763,-0.7710630484730804
Colombia,2020,11,17.0,106.1,15.3,80.6,49488.0,70.0,343.521648,1844.855428,0.03435176204332364,0.03377491363263564,-0.6609760611907582
Colombia,2020,12,19.0,108.01,14.8,81.0,49545.0,70.0,343.521648,1844.855428,0.03834897567867595,0.03763192831691084,-0.5883472967084196
Colombia,2021,1,18.0,107.69,15.1,81.4,49602.0,73.0,335.483638,1925.676049,0.0362888593201887,0.035645926711368306,-0.6257443134889249
Colombia,2021,2,14.0,109.85,14.4,81.6,49658.0,73.0,335.483638,1925.676049,0.028192839018889203,0.027802736035058437,-0.7734339893260885
Colombia,2021,3,16.0,111.85,14.3,81.8,49712.0,73.0,335.483638,1925.676049,0.0321853878339234,0.031678290300107444,-0.700456118875574
Colombia,2021,4,14.0,108.72,15.5,82.1,49766.0,73.0,335.483638,1925.676049,0.028131656150785677,0.027743229018276395,-0.774554524626234
Colombia,2021,5,17.0,102.81,15.1,82.3,49818.0,73.0,335.483638,1925.676049,0.03412421213216107,0.033554896658862264,-0.6651190480026703
Colombia,2021,6,7.0,110.55,15.0,82.7,49872.0,73.0,335.483638,1925.676049,0.014035931985883862,0.013938340424669949,-1.0345047930184268
Colombia,2021,7,39.0,111.92,13.0,83.3,49922.0,73.0,367.998723,2207.552924,0.07812187011738311,0.0752205181538449,0.11945732991641561
Colombia,2021,8,22.0,110.93,13.0,83.6,49971.0,73.0,367.998723,2207.552924,0.04402553481018991,0.04308394779178964,-0.4856841048858801
Colombia,2021,9,23.0,116.74,12.5,84.4,50019.0,73.0,367.998723,2207.552924,0.04598252663987685,0.04495666057000602,-0.4504203513236603
Colombia,2021,10,39.0,115.88,12.9,85.3,50068.0,73.0,367.998723,2207.552924,0.07789406407286091,0.07500919685351738,0.11547808529124957
Colombia,2021,11,14.0,117.29,12.9,86.0,50116.0,73.0,367.998723,2207.552924,0.027935190358368583,0.027552120647117685,-0.7781531536218862
Colombia,2021,12,48.0,119.0,11.8,86.8,50162.0,73.0,367.998723,2207.552924,0.0956899645149715,0.0913842694158072,0.42382570277802206
Colombia,2022,1,20.0,116.17,12.3,87.7,50208.0,73.0,404.892456,2473.061401,0.039834289356277884,0.03906136330034281,-0.5614305994042179
Colombia,2022,2,53.0,117.47,11.8,88.0,50254.0,73.0,404.892456,2473.061401,0.10546424165240578,0.10026537493280052,0.5910596320565978
Colombia,2022,3,76.0,119.5,11.7,89.5,50298.0,73.0,404.892456,2473.061401,0.151099447294127,0.14071752678423965,1.352786005979925
Colombia,2022,4,57.0,119.37,11.1,90.7,50341.0,73.0,404.892456,2473.061401,0.11322778649609662,0.10726371127803756,0.7228404428112571
Colombia,2022,5,43.0,119.78,10.6,91.8,50385.0,73.0,404.892456,2473.061401,0.08534285997816811,0.08189593705482329,0.24515750657291685
Colombia,2022,6,90.0,119.23,11.6,93.0,50429.0,73.0,404.892456,2473.061401,0.17846873822602075,0.16421591629296847,1.7952678571125285
Colombia,2022,7,53.0,118.64,11.0,94.2,50472.0,73.0,429.597851,2630.399542,0.10500871770486607,0.09985322426426614,0.5832987090924565
Colombia,2022,8,28.0,120.53,10.9,95.4,50516.0,73.0,429.597851,2630.399542,0.05542798321323937,0.0539463559578481,-0.2811416416123846
Colombia,2022,9,30.0,121.75,11.4,96.0,50559.0,73.0,429.597851,2630.399542,0.05933661662611998,0.05764287883694182,-0.21153498683768918
Colombia,2022,10,16.0,120.39,10.5,96.3,50605.0,73.0,429.597851,2630.399542,0.03161742910779567,0.031127890101209223,-0.7108203227194915
Colombia,2022,11,53.0,117.39,10.8,97.4,50650.0,73.0,429.597851,2630.399542,0.10463968410661402,0.09951920406324179,0.5770090066934883
Colombia,2022,12,37.0,119.21,10.9,98.0,50694.0,73.0,429.597851,2630.399542,0.07298694125537539,0.07044629326264369,0.029557217110925724
Colombia,2023,1,32.0,120.48,11.4,98.5,50740.0,77.0,,,0.06306661411115491,0.061157763540448065,-0.14534863438373122
Colombia,2023,2,38.0,120.39,10.3,98.9,50785.0,77.0,,,0.07482524367431329,0.0721580843407684,0.06179076591304826
